hi-lo,volume,changePercent
2.1865889212827914,56086001,0.72714
2.5536538983971813,74828256,-1.17
4.722638680659663,93179737,4.24
3.1621329667092204,91070426,1.92
3.5296531910527515,83277288,0.75402
3.152434158020747,72937014,0.86207
2.2614560603054823,64107040,-0.65127
5.172587299989936,95114158,-0.33697
3.1637279596977192,73810511,1.77
3.7105751391465622,74215767,2.96
5.39745878399664,67687074,5.09
3.13886784284014,85240759,0.26167
2.6752966558791846,71867708,-0.1308
2.3624561030115983,83906123,-1.23
4.467425025853147,88135330,-2.47
2.994483845547681,67122688,-1.32
1.4329976762199745,42884113,-0.98228
1.2465913517724843,55747788,0.37001
1.742876725741703,43685609,1.24
2.5850069596341165,66210036,-0.49407
2.6811813325269735,74544711,0.52115
5.635215080717943,88082510,-3.84
1.3803983435219933,60174797,1.19
2.460738221466448,58217985,1.58
2.2134226825058305,78365489,0.613
4.481907894736842,101348862,-1.2
4.096911718831234,115040663,2.87
3.302039494982197,71449741,2.39
3.2642258491398253,75770017,2.91
3.1832035218421866,90894450,2.7
3.2629777524244146,81377726,1.89
4.404473653868336,81500273,-3.97
3.350395532805967,83770217,2.32
3.160377358490574,90571804,0.16313
3.4798534798534706,86468789,1.72
3.7113402061855605,93197251,-0.97065
3.56109503672378,88761563,-2.21
2.107171179336127,79174530,1.37
2.191842729635067,60928200,0.09088843
1.3590033975084967,31987709,-0.15819
3.0624790432547324,85929175,-0.38142
1.989708404802739,74137637,-0.45362
4.109433533885803,83291267,3.59
2.1610317183687693,78934433,0.65299
2.0575169511339784,89022468,0.86529
2.7321139152581613,109216251,-1.28
2.3138950566787475,116776212,1.11
2.4353876739562548,90215210,0.37267
5.6667925953910085,124790853,5.21
4.243281471004239,129182608,-2.85
2.5687130747495504,93980052,-0.12755
3.6203775536591634,102251119,1.9
2.3566794651132015,91799830,0.52896
3.6188178528347255,114330614,2.4
2.7305656171635664,117067047,1.51
4.911242603550307,166317806,4.45
4.000620251201734,111461831,1.42
3.4541776878792576,132152801,1.13
4.051915163026267,147351082,-0.88664
6.876881635240062,187023695,-4.69
6.2444246208742245,164181614,-5.37
3.4004857836833966,122537254,1.32
6.864320140207374,131799503,2.14
4.8192771084337345,138861395,-4.03
5.675119945167925,185025168,-3.9
4.965776405851568,131582598,-2.11
5.2068190828597825,105193461,2.08
3.204376709652199,86576077,2.25
6.059016393442629,130093765,-4.3
4.937955737495203,118254613,-1.49
2.5960673435291044,95855425,1.03
3.9368039368039267,108054751,1.34
5.253940455341514,105483032,3.52
9.09847434119279,147448715,7.79
4.25531914893617,109003076,-0.91948
4.3766765494846736,126379628,3.34
6.67329263098112,133269526,-3.28
3.9237358386294607,118231617,2.24
4.901010660390429,143429055,-2.62
5.803698435277379,134072893,3.34
4.7605224963715544,128435797,-0.316
3.7616654702081695,105339743,-2.32
3.1763879128601618,81269205,2.24
3.4854771784232303,94090632,-1.38
3.34485141672426,108410565,-2.6
5.670103092783495,98019232,-5.08
3.1365548897105615,74370736,0.48211
2.2375864236329366,62399102,1.04
5.332016785978779,89919829,-4.1
3.468208092485561,76189878,0.96386
3.1831537708129387,85424685,0.88714
3.430239630215311,77762059,-1.94
3.014590618593995,70856404,0.93999
2.6286696965974703,74882748,0.47135
3.050762690672665,84311499,1.61
4.008693552282066,74029096,-2.04
2.7462121212121304,61889339,1.02
3.783339208083655,82529193,-2.13
